Parameter,Value
Path,/Users/rashbir/Desktop/Sidekicker/LaurenceWhite/Webapp/pdf_analyst_webapp/webapp/media/documents/0000000_Quotes.pdf
File Size,41.197 KB (41197 bytes)
Most Recent Access,2020-11-02 18:45:01
Most Recent Content Change,2020-10-29 00:35:29
Most Recent Metadata Change,2020-10-29 00:35:31
MD5 Hash,c4dc8ae13bee3542cc70982597c5f7f6
SHA1 Hash,2003742102996973c3b4fbaa8e584466be574a04
SHA224 Hash,5dccae0bc3af8aca97d633ea801a4bf14fc4090686ebb21e267bbbe0
SHA256 Hash,3f295dc90ec8dc0b63771337515aaae01a14459566c87e35a21e9b0fa736e2af
SHA384 Hash,f1413480a55e4ecfe94fb690ca727bf3ac47b663148fc7349d5668d2d1bb3834d508bdd5ceb39a94d535e20c8acd8de1
SHA512 Hash,85b0405b15d594cacbb92d9dfd2d618fe9245cacb9d1032aaa7ea71834d193568ddcc65c61ffdcfefa9d6cdde6166258f878a1dcc80db9472ace21f220e2c563
PDF Version,"(True, 'PDF-1.7')"
Document Information Dictionary,"(True, [b'/Info 14 0 R'])"
Total Number of document information directory references,1
info obj,"(True, {b'/Info 14 0 R': b""\n14 0 obj\r\n<</Author(LFW 4) /Creator(\xfe\xff\x00M\x00i\x00c\x00r\x00o\x00s\x00o\x00f\x00t\x00\xae\x00 \x00W\x00o\x00r\x00d\x00 \x00f\x00o\x00r\x00 \x00O\x00f\x00f\x00i\x00c\x00e\x00 \x003\x006\x005) /CreationDate(D:20200510184319+10'00') /ModDate(D:20200510184319+10'00') /Producer(\xfe\xff\x00M\x00i\x00c\x00r\x00o\x00s\x00o\x00f\x00t\x00\xae\x00 \x00W\x00o\x00r\x00d\x00 \x00f\x00o\x00r\x00 \x00O\x00f\x00f\x00i\x00c\x00e\x00 \x003\x006\x005) >>\r\nendobj""})"
Total Number of document information directory objects,1
xmp ref,"(True, {b'/Info 14 0 R': b""\n14 0 obj\r\n<</Author(LFW 4) /Creator(\xfe\xff\x00M\x00i\x00c\x00r\x00o\x00s\x00o\x00f\x00t\x00\xae\x00 \x00W\x00o\x00r\x00d\x00 \x00f\x00o\x00r\x00 \x00O\x00f\x00f\x00i\x00c\x00e\x00 \x003\x006\x005) /CreationDate(D:20200510184319+10'00') /ModDate(D:20200510184319+10'00') /Producer(\xfe\xff\x00M\x00i\x00c\x00r\x00o\x00s\x00o\x00f\x00t\x00\xae\x00 \x00W\x00o\x00r\x00d\x00 \x00f\x00o\x00r\x00 \x00O\x00f\x00f\x00i\x00c\x00e\x00 \x003\x006\x005) >>\r\nendobj""})"
Total number of XMP metadata references,1
xmp obj,"(True, {b'/Info 14 0 R': b""\n14 0 obj\r\n<</Author(LFW 4) /Creator(\xfe\xff\x00M\x00i\x00c\x00r\x00o\x00s\x00o\x00f\x00t\x00\xae\x00 \x00W\x00o\x00r\x00d\x00 \x00f\x00o\x00r\x00 \x00O\x00f\x00f\x00i\x00c\x00e\x00 \x003\x006\x005) /CreationDate(D:20200510184319+10'00') /ModDate(D:20200510184319+10'00') /Producer(\xfe\xff\x00M\x00i\x00c\x00r\x00o\x00s\x00o\x00f\x00t\x00\xae\x00 \x00W\x00o\x00r\x00d\x00 \x00f\x00o\x00r\x00 \x00O\x00f\x00f\x00i\x00c\x00e\x00 \x003\x006\x005) >>\r\nendobj""})"
Total number of XMP metadata objects,1
