,linenumber,Text,x,up,y,down
0,1,.02/07/2014 ,88.27999877929688,747.2750854492188,164.74021911621094,765.0172729492188
0,2,ASIC-IN-CONFIDENCE ,215.00999450683594,38.830810546875,378.04150390625,58.63631057739258
0,3,Investigation into Project Enola ,166.4600067138672,250.46507263183594,254.59722900390625,268.207275390625
0,4,J-...J .... ( -tc .. ,251.6300048828125,302.1636047363281,272.1603088378906,322.1880187988281
0,5,"Wednesday, 2 ~areft. 2014 at 10.12am ",165.30999755859375,320.5550842285156,233.2596893310547,338.29730224609375
0,6,"At Level 5 ,· 100 Market Street, Sydney, NSW 2000 ",165.57000732421875,378.8650817871094,180.9390411376953,396.6072998046875
0,7,Before: ,166.5,437.6750793457031,214.52503967285156,455.41729736328125
0,8,"Mr Robert Titterton, Mr Joe Keuper ",233.72000122070312,437.4250793457031,247.16265869140625,455.16729736328125
0,9,and Mr Chris Johnson ,233.6300048828125,449.4250793457031,254.0709228515625,467.16729736328125
0,10,Also present: ,165.81088256835938,484.4705810546875,195.4406280517578,502.2127990722656
0,11,Mr David Stack ,265.6400146484375,484.4650573730469,279.6546936035156,502.207275390625
0,12,Private examination of Trajan John Kukulovski ,166.72999572753906,519.51513671875,217.27163696289062,537.25732421875
0,13,pursuant to section 19 of the ASIC Act ,167.05999755859375,531.26513671875,223.4216766357422,549.00732421875
0,14,1 of 140 ,273.4599914550781,748.7369995117188,281.7099914550781,763.4110107421875
0,15,Transcript proaucea oy Merrill Corporation ,216.88999938964844,760.5653686523438,256.98211669921875,771.504150390625
0,16,ASIC-IN-CONFIDENCE ,215.00999450683594,38.830810546875,378.04150390625,58.63631057739258
